InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,IsIncomplete,NormalizedDescription,DescriptionLength
537032,21275,?,-30,12/3/2010 16:50,0.0,,United Kingdom,True,?,1
537432,35833G,damages,-43,12/6/2010 16:10,0.0,,United Kingdom,True,damages,7
C537581,S,SAMPLES,-1,12/7/2010 12:03,12.95,,United Kingdom,True,samples,7
C537581,S,SAMPLES,-1,12/7/2010 12:03,52.0,,United Kingdom,True,samples,7
538090,20956,?,-723,12/9/2010 14:48,0.0,,United Kingdom,True,?,1
539494,21479,?,752,12/20/2010 10:36,0.0,,United Kingdom,True,?,1
540100,22837,?,-106,1/4/2011 16:53,0.0,,United Kingdom,True,?,1
540558,21258,?,-29,1/10/2011 10:04,0.0,,United Kingdom,True,?,1
540564,22617,"mouldy, thrown away.",-2600,1/10/2011 10:36,0.0,,United Kingdom,True,"mouldy, thrown away.",20
540638,72038P,damages,-990,1/10/2011 12:14,0.0,,United Kingdom,True,damages,7
540651,82599,?,-290,1/10/2011 15:00,0.0,,United Kingdom,True,?,1
541882,48185,?,-57,1/24/2011 10:54,0.0,,United Kingdom,True,?,1
542361,85161,samples/damages,-20,1/27/2011 12:47,0.0,,United Kingdom,True,samples/damages,15
542861,47591B,?,-207,2/1/2011 11:47,0.0,,United Kingdom,True,?,1
543257,84611B,thrown away,-1430,2/4/2011 16:06,0.0,,United Kingdom,True,thrown away,11
543259,84612B,thrown away,-162,2/4/2011 16:07,0.0,,United Kingdom,True,thrown away,11
543260,84613A,thrown away,-230,2/4/2011 16:07,0.0,,United Kingdom,True,thrown away,11
543262,84614A,thrown away,-390,2/4/2011 16:08,0.0,,United Kingdom,True,thrown away,11
543827,84406B,incorrectly made-thrown away.,-64,2/14/2011 9:44,0.0,,United Kingdom,True,incorrectly made-thrown away.,29
544410,84997C,?,-741,2/18/2011 13:54,0.0,,United Kingdom,True,?,1
C544580,S,SAMPLES,-1,2/21/2011 14:25,5.74,,United Kingdom,True,samples,7
C544580,S,SAMPLES,-1,2/21/2011 14:25,11.08,,United Kingdom,True,samples,7
C544580,S,SAMPLES,-1,2/21/2011 14:25,5.79,,United Kingdom,True,samples,7
C544580,S,SAMPLES,-1,2/21/2011 14:25,6.7,,United Kingdom,True,samples,7
C544580,S,SAMPLES,-1,2/21/2011 14:25,8.74,,United Kingdom,True,samples,7
C544580,S,SAMPLES,-1,2/21/2011 14:25,9.74,,United Kingdom,True,samples,7
C544580,S,SAMPLES,-1,2/21/2011 14:25,9.99,,United Kingdom,True,samples,7
C544580,S,SAMPLES,-1,2/21/2011 14:25,20.98,,United Kingdom,True,samples,7
C544580,S,SAMPLES,-1,2/21/2011 14:25,7.69,,United Kingdom,True,samples,7
C544580,S,SAMPLES,-1,2/21/2011 14:25,5.44,,United Kingdom,True,samples,7
C544580,S,SAMPLES,-1,2/21/2011 14:25,7.0,,United Kingdom,True,samples,7
C544580,S,SAMPLES,-1,2/21/2011 14:25,10.0,,United Kingdom,True,samples,7
C544580,S,SAMPLES,-1,2/21/2011 14:25,19.5,,United Kingdom,True,samples,7
C544580,S,SAMPLES,-1,2/21/2011 14:25,20.55,,United Kingdom,True,samples,7
C544580,S,SAMPLES,-1,2/21/2011 14:25,29.99,,United Kingdom,True,samples,7
C544580,S,SAMPLES,-1,2/21/2011 14:25,9.74,,United Kingdom,True,samples,7
C544581,S,SAMPLES,-1,2/21/2011 14:32,12.94,,United Kingdom,True,samples,7
C544581,S,SAMPLES,-1,2/21/2011 14:32,92.0,,United Kingdom,True,samples,7
C544581,S,SAMPLES,-1,2/21/2011 14:32,107.99,,United Kingdom,True,samples,7
C544581,S,SAMPLES,-1,2/21/2011 14:32,55.0,,United Kingdom,True,samples,7
C544583,S,SAMPLES,-1,2/21/2011 14:48,128.56,,United Kingdom,True,samples,7
C544583,S,SAMPLES,-1,2/21/2011 14:48,39.5,,United Kingdom,True,samples,7
C544583,S,SAMPLES,-1,2/21/2011 14:48,37.49,,United Kingdom,True,samples,7
C544583,S,SAMPLES,-1,2/21/2011 14:48,31.98,,United Kingdom,True,samples,7
C544583,S,SAMPLES,-1,2/21/2011 14:48,2.8,,United Kingdom,True,samples,7
C544583,S,SAMPLES,-1,2/21/2011 14:48,4.59,,United Kingdom,True,samples,7
C544583,S,SAMPLES,-1,2/21/2011 14:48,95.0,,United Kingdom,True,samples,7
544649,21621,?,-400,2/22/2011 12:37,0.0,,United Kingdom,True,?,1
C544671,S,SAMPLES,-1,2/22/2011 15:45,21.9,,United Kingdom,True,samples,7
545236,22797,damages,-15,3/1/2011 10:32,0.0,,United Kingdom,True,damages,7
546010,22423,damages,-19,3/8/2011 15:55,0.0,,United Kingdom,True,damages,7
546018,85172,wrongly sold as sets,-600,3/8/2011 17:23,0.0,,United Kingdom,True,wrongly sold as sets,20
546023,85175,wrongly sold sets,-975,3/8/2011 17:29,0.0,,United Kingdom,True,wrongly sold sets,17
546024,85175,? sold as sets?,-1200,3/8/2011 17:31,0.0,,United Kingdom,True,? sold as sets?,15
546025,85172,?sold as sets?,-600,3/8/2011 17:31,0.0,,United Kingdom,True,?sold as sets?,14
546124,35610C,Thrown away.,-1121,3/9/2011 14:50,0.0,,United Kingdom,True,thrown away.,12
546126,35611B,thrown away,-27,3/9/2011 14:52,0.0,,United Kingdom,True,thrown away,11
546129,35610B,thrown away,-541,3/9/2011 15:07,0.0,,United Kingdom,True,thrown away,11
546130,35610A,thrown away,-1277,3/9/2011 15:08,0.0,,United Kingdom,True,thrown away,11
546137,20893,damages/display,-197,3/9/2011 16:33,0.0,,United Kingdom,True,damages/display,15
546138,21815,?,-300,3/9/2011 16:34,0.0,,United Kingdom,True,?,1
546139,84988,?,3000,3/9/2011 16:35,0.0,,United Kingdom,True,?,1
546140,21527,damages,-30,3/9/2011 16:35,0.0,,United Kingdom,True,damages,7
546142,40016,damaged stock,-1100,3/9/2011 16:37,0.0,,United Kingdom,True,damaged stock,13
546145,21537,?,-80,3/9/2011 16:39,0.0,,United Kingdom,True,?,1
546147,21320,broken,-63,3/9/2011 16:42,0.0,,United Kingdom,True,broken,6
546148,85049D,?,-100,3/9/2011 16:43,0.0,,United Kingdom,True,?,1
546149,20866,?,-230,3/9/2011 17:02,0.0,,United Kingdom,True,?,1
546245,85185B,?,-259,3/10/2011 13:26,0.0,,United Kingdom,True,?,1
546407,22719,wrong barcode (22467),-178,3/11/2011 16:24,0.0,,United Kingdom,True,wrong barcode (22467),21
